Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-04-13,Internacional,Bahia,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-13,Criciuma,Juventude,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-04-14,Fluminense,RB Bragantino,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-04-14,Sao Paulo,Fortaleza EC,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-14,Corinthians,Atletico-MG,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-04-14,Vasco DA Gama,Gremio,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-14,Atletico Paranaense,Cuiaba,4,0,H,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-04-14,Atletico Goianiense,Flamengo,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-14,Cruzeiro,Botafogo,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-04-14,Vitoria,Palmeiras,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-04-17,Bahia,Fluminense,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-17,Gremio,Atletico Paranaense,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-04-17,RB Bragantino,Vasco DA Gama,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-17,Palmeiras,Internacional,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-04-17,Juventude,Corinthians,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-04-17,Fortaleza EC,Cruzeiro,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-04-17,Atletico-MG,Criciuma,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-04-18,Flamengo,Sao Paulo,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-19,Botafogo,Atletico Goianiense,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-04-20,Fluminense,Vasco DA Gama,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-04-20,Gremio,Cuiaba,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
