Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-08-23,Borussia Mönchengladbach,Bayer Leverkusen,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-08-24,SC Freiburg,VfB Stuttgart,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-24,FSV Mainz 05,Union Berlin,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-08-24,1899 Hoffenheim,Holstein Kiel,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-08-24,FC Augsburg,Werder Bremen,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-24,RB Leipzig,VfL Bochum,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-08-25,VfL Wolfsburg,Bayern München,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-08-25,FC St. Pauli,1. FC Heidenheim,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-08-30,Union Berlin,FC St. Pauli,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-31,Werder Bremen,Borussia Dortmund,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-08-31,Eintracht Frankfurt,1899 Hoffenheim,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-31,VfB Stuttgart,FSV Mainz 05,3,3,D,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-08-31,VfL Bochum,Borussia Mönchengladbach,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-08-31,Holstein Kiel,VfL Wolfsburg,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-08-31,Bayer Leverkusen,RB Leipzig,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-01,1. FC Heidenheim,FC Augsburg,4,0,H,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-09-01,Bayern München,SC Freiburg,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-09-13,Borussia Dortmund,1. FC Heidenheim,4,2,H,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-09-14,SC Freiburg,VfL Bochum,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
