Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,TotalGoals,Over25,BTTS,Status
2024-08-17,Genoa,Inter,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-17,Parma,Fiorentina,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-08-17,AC Milan,Torino,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-17,Empoli,Monza,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-08-18,Bologna,Udinese,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-08-18,Hellas Verona,Napoli,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-08-18,Lazio,Venezia,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-18,Cagliari,AS Roma,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-08-19,Lecce,Atalanta,0,4,A,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-08-19,Juventus,Como,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-08-24,Udinese,Lazio,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-24,Parma,AC Milan,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-24,Inter,Lecce,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-08-24,Monza,Genoa,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-25,Fiorentina,Venezia,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-08-25,Torino,Atalanta,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-25,Napoli,Bologna,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-08-25,AS Roma,Empoli,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-08-26,Cagliari,Como,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-08-26,Hellas Verona,Juventus,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-08-30,Venezia,Torino,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-30,Inter,Atalanta,4,0,H,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-08-31,Bologna,Empoli,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-08-31,Lecce,Cagliari,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-08-31,Lazio,AC Milan,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-08-31,Napoli,Parma,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-01,Genoa,Hellas Verona,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-09-01,Fiorentina,Monza,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-09-01,Udinese,Como,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-09-01,Juventus,AS Roma,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-09-14,Como,Bologna,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-09-14,Empoli,Juventus,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-09-14,AC Milan,Venezia,4,0,H,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-09-15,Genoa,AS Roma,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-09-15,Atalanta,Fiorentina,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-15,Torino,Lecce,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-09-15,Cagliari,Napoli,0,4,A,2.1,3.25,3.4,1.9,1.9,4,1,0,FT
2024-09-15,Monza,Inter,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-09-16,Parma,Udinese,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-16,Lazio,Hellas Verona,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-20,Cagliari,Empoli,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-09-20,Hellas Verona,Torino,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-21,Venezia,Genoa,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-09-21,Juventus,Napoli,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-09-21,Lecce,Parma,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-09-22,Fiorentina,Lazio,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-22,Monza,Bologna,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-22,AS Roma,Udinese,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-09-22,Inter,AC Milan,1,2,A,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-24,Atalanta,Como,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-27,AC Milan,Lecce,3,0,H,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-09-28,Udinese,Inter,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-28,Genoa,Juventus,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-09-28,Bologna,Atalanta,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-09-29,Torino,Lazio,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-29,AS Roma,Venezia,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-09-29,Como,Hellas Verona,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-09-29,Empoli,Fiorentina,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-09-29,Napoli,Monza,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-09-30,Parma,Cagliari,2,3,A,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-10-04,Napoli,Como,3,1,H,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-04,Hellas Verona,Venezia,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-05,Udinese,Lecce,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-05,Atalanta,Genoa,5,1,H,2.1,3.25,3.4,1.9,1.9,6,1,1,FT
2024-10-05,Inter,Torino,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-10-06,Juventus,Cagliari,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-06,Lazio,Empoli,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-06,Bologna,Parma,0,0,D,2.1,3.25,3.4,1.9,1.9,0,0,0,FT
2024-10-06,Monza,AS Roma,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-06,Fiorentina,AC Milan,2,1,H,2.1,3.25,3.4,1.9,1.9,3,1,1,FT
2024-10-19,Genoa,Bologna,2,2,D,2.1,3.25,3.4,1.9,1.9,4,1,1,FT
2024-10-19,Como,Parma,1,1,D,2.1,3.25,3.4,1.9,1.9,2,0,1,FT
2024-10-19,AC Milan,Udinese,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-19,Juventus,Lazio,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-20,Empoli,Napoli,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-20,Venezia,Atalanta,0,2,A,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-20,Lecce,Fiorentina,0,6,A,2.1,3.25,3.4,1.9,1.9,6,1,0,FT
2024-10-20,Cagliari,Torino,3,2,H,2.1,3.25,3.4,1.9,1.9,5,1,1,FT
2024-10-20,AS Roma,Inter,0,1,A,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-21,Hellas Verona,Monza,0,3,A,2.1,3.25,3.4,1.9,1.9,3,1,0,FT
2024-10-25,Udinese,Cagliari,2,0,H,2.1,3.25,3.4,1.9,1.9,2,0,0,FT
2024-10-25,Torino,Como,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
2024-10-26,Napoli,Lecce,1,0,H,2.1,3.25,3.4,1.9,1.9,1,0,0,FT
